record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,813.22,,,813.22,Final Base Raw Average = 813.22
info,,,,,,--------------------------------------------------------------------------
data,,813.2,812.2,1.0,812.2,Time=0.1s | BaseRaw=813.2 | CurrentRaw=812.2 | Change=1.0 => Floor
data,,813.2,812.4,0.8,812.4,Time=0.2s | BaseRaw=813.2 | CurrentRaw=812.4 | Change=0.8 => Floor
data,,813.2,812.2,1.0,812.2,Time=0.3s | BaseRaw=813.2 | CurrentRaw=812.2 | Change=1.0 => Floor
data,,813.2,812.8,0.4,812.8,Time=0.4s | BaseRaw=813.2 | CurrentRaw=812.8 | Change=0.4 => Floor
data,,813.2,813.0,0.2,813.0,Time=0.5s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=0.6s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.4,0.2,813.4,Time=0.7s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.6,0.4,813.6,Time=0.8s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=0.9s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.0s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.1s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.2s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.3s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.8,0.6,813.8,Time=1.4s | BaseRaw=813.2 | CurrentRaw=813.8 | Change=0.6 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.5s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.8,0.6,813.8,Time=1.6s | BaseRaw=813.2 | CurrentRaw=813.8 | Change=0.6 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.7s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.8s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.6,0.4,813.6,Time=1.9s | BaseRaw=813.2 | CurrentRaw=813.6 | Change=0.4 => Floor
data,,813.2,813.4,0.2,813.4,Time=2.0s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.4,0.2,813.4,Time=2.1s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.0,0.2,813.0,Time=2.2s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=2.3s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,812.8,0.4,812.8,Time=2.4s | BaseRaw=813.2 | CurrentRaw=812.8 | Change=0.4 => Floor
data,,813.2,813.0,0.2,813.0,Time=2.5s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=2.6s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.2,0.0,813.2,Time=2.7s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.2,0.0,813.2,Time=2.8s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.2,0.0,813.2,Time=2.9s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.2,0.0,813.2,Time=3.0s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.0,0.2,813.0,Time=3.1s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,812.8,0.4,812.8,Time=3.2s | BaseRaw=813.2 | CurrentRaw=812.8 | Change=0.4 => Floor
data,,813.2,812.8,0.4,812.8,Time=3.3s | BaseRaw=813.2 | CurrentRaw=812.8 | Change=0.4 => Floor
data,,813.2,812.8,0.4,812.8,Time=3.4s | BaseRaw=813.2 | CurrentRaw=812.8 | Change=0.4 => Floor
data,,813.2,813.0,0.2,813.0,Time=3.5s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=3.6s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.4,0.2,813.4,Time=3.7s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.4,0.2,813.4,Time=3.8s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=3.9s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.4,0.2,813.4,Time=4.0s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.0,0.2,813.0,Time=4.1s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.0,0.2,813.0,Time=4.2s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.0,0.2,813.0,Time=4.3s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.0,0.2,813.0,Time=4.4s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=4.5s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.0,0.2,813.0,Time=4.6s | BaseRaw=813.2 | CurrentRaw=813.0 | Change=0.2 => Floor
data,,813.2,813.4,0.2,813.4,Time=4.7s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.4,0.2,813.4,Time=4.8s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.4,0.2,813.4,Time=4.9s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.2,0.0,813.2,Time=5.0s | BaseRaw=813.2 | CurrentRaw=813.2 | Change=0.0 => Floor
data,,813.2,813.4,0.2,813.4,Time=5.1s | BaseRaw=813.2 | CurrentRaw=813.4 | Change=0.2 => Floor
data,,813.2,813.8,0.6,813.8,Time=5.2s | BaseRaw=813.2 | CurrentRaw=813.8 | Change=0.6 => Floor
data,,813.2,814.0,0.8,814.0,Time=5.3s | BaseRaw=813.2 | CurrentRaw=814.0 | Change=0.8 => Floor
data,,813.2,814.4,1.2,814.4,Time=5.4s | BaseRaw=813.2 | CurrentRaw=814.4 | Change=1.2 => Floor
data,,813.2,814.8,1.6,814.8,Time=5.5s | BaseRaw=813.2 | CurrentRaw=814.8 | Change=1.6 => Floor
data,,813.2,815.0,1.8,815.0,Time=5.6s | BaseRaw=813.2 | CurrentRaw=815.0 | Change=1.8 => Floor
data,,813.2,815.2,2.0,815.2,Time=5.7s | BaseRaw=813.2 | CurrentRaw=815.2 | Change=2.0 => Floor
