record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.0,,,,867.0,Collecting baseline... RawAvg=867.00
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.8,,,,867.8,Collecting baseline... RawAvg=867.80
baseline,867.8,,,,867.8,Collecting baseline... RawAvg=867.80
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.0,,,,867.0,Collecting baseline... RawAvg=867.00
baseline,867.0,,,,867.0,Collecting baseline... RawAvg=867.00
baseline,867.0,,,,867.0,Collecting baseline... RawAvg=867.00
baseline,867.0,,,,867.0,Collecting baseline... RawAvg=867.00
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.8,,,,867.8,Collecting baseline... RawAvg=867.80
baseline,868.0,,,,868.0,Collecting baseline... RawAvg=868.00
baseline,867.8,,,,867.8,Collecting baseline... RawAvg=867.80
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.2,,,,867.2,Collecting baseline... RawAvg=867.20
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.4,,,,867.4,Collecting baseline... RawAvg=867.40
baseline,867.6,,,,867.6,Collecting baseline... RawAvg=867.60
baseline,867.8,,,,867.8,Collecting baseline... RawAvg=867.80
baseline,867.8,,,,867.8,Collecting baseline... RawAvg=867.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,867.42,,,867.42,Final Base Raw Average = 867.42
info,,,,,,--------------------------------------------------------------------------
data,,867.4,794.6,72.8,794.6,Time=6.9s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.8,72.6,794.8,Time=7.0s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.6,72.8,794.6,Time=7.1s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.4,73.0,794.4,Time=7.2s | BaseRaw=867.4 | CurrentRaw=794.4 | Change=73.0 => Liquid
data,,867.4,794.2,73.2,794.2,Time=7.3s | BaseRaw=867.4 | CurrentRaw=794.2 | Change=73.2 => Liquid
data,,867.4,794.4,73.0,794.4,Time=7.4s | BaseRaw=867.4 | CurrentRaw=794.4 | Change=73.0 => Liquid
data,,867.4,794.2,73.2,794.2,Time=7.5s | BaseRaw=867.4 | CurrentRaw=794.2 | Change=73.2 => Liquid
data,,867.4,794.6,72.8,794.6,Time=7.6s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.8,72.6,794.8,Time=7.7s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,795.0,72.4,795.0,Time=7.8s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,795.2,72.2,795.2,Time=7.9s | BaseRaw=867.4 | CurrentRaw=795.2 | Change=72.2 => Liquid
data,,867.4,795.4,72.0,795.4,Time=8.0s | BaseRaw=867.4 | CurrentRaw=795.4 | Change=72.0 => Liquid
data,,867.4,795.2,72.2,795.2,Time=8.1s | BaseRaw=867.4 | CurrentRaw=795.2 | Change=72.2 => Liquid
data,,867.4,795.0,72.4,795.0,Time=8.2s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,794.8,72.6,794.8,Time=8.3s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.6,72.8,794.6,Time=8.4s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.6,72.8,794.6,Time=8.5s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.6,72.8,794.6,Time=8.6s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,795.0,72.4,795.0,Time=8.7s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,795.2,72.2,795.2,Time=8.8s | BaseRaw=867.4 | CurrentRaw=795.2 | Change=72.2 => Liquid
data,,867.4,795.0,72.4,795.0,Time=8.9s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,795.0,72.4,795.0,Time=9.0s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,795.0,72.4,795.0,Time=9.1s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,794.8,72.6,794.8,Time=9.2s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.8,72.6,794.8,Time=9.3s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,795.0,72.4,795.0,Time=9.4s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,794.8,72.6,794.8,Time=9.5s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.8,72.6,794.8,Time=9.6s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.8,72.6,794.8,Time=9.7s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.6,72.8,794.6,Time=9.8s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.6,72.8,794.6,Time=9.9s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.8,72.6,794.8,Time=10.0s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.6,72.8,794.6,Time=10.1s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.6,72.8,794.6,Time=10.2s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.8,72.6,794.8,Time=10.3s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.8,72.6,794.8,Time=10.4s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,795.0,72.4,795.0,Time=10.5s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,795.2,72.2,795.2,Time=10.6s | BaseRaw=867.4 | CurrentRaw=795.2 | Change=72.2 => Liquid
data,,867.4,795.0,72.4,795.0,Time=10.7s | BaseRaw=867.4 | CurrentRaw=795.0 | Change=72.4 => Liquid
data,,867.4,794.8,72.6,794.8,Time=10.8s | BaseRaw=867.4 | CurrentRaw=794.8 | Change=72.6 => Liquid
data,,867.4,794.6,72.8,794.6,Time=10.9s | BaseRaw=867.4 | CurrentRaw=794.6 | Change=72.8 => Liquid
data,,867.4,794.2,73.2,794.2,Time=11.0s | BaseRaw=867.4 | CurrentRaw=794.2 | Change=73.2 => Liquid
data,,867.4,794.0,73.4,794.0,Time=11.1s | BaseRaw=867.4 | CurrentRaw=794.0 | Change=73.4 => Liquid
data,,867.4,794.2,73.2,794.2,Time=11.2s | BaseRaw=867.4 | CurrentRaw=794.2 | Change=73.2 => Liquid
data,,867.4,794.2,73.2,794.2,Time=11.3s | BaseRaw=867.4 | CurrentRaw=794.2 | Change=73.2 => Liquid
data,,867.4,794.2,73.2,794.2,Time=11.4s | BaseRaw=867.4 | CurrentRaw=794.2 | Change=73.2 => Liquid
data,,867.4,794.0,73.4,794.0,Time=11.5s | BaseRaw=867.4 | CurrentRaw=794.0 | Change=73.4 => Liquid
data,,867.4,793.8,73.6,793.8,Time=11.6s | BaseRaw=867.4 | CurrentRaw=793.8 | Change=73.6 => Liquid
data,,867.4,793.2,74.2,793.2,Time=11.7s | BaseRaw=867.4 | CurrentRaw=793.2 | Change=74.2 => Liquid
